task_id,gpu_fraction,cpu_fraction
0.0,0.6117872601097745,0.38821273989022553
1.0,0.6000730227418312,0.39992697725816884
2.0,0.6061250028895683,0.3938749971104317
3.0,0.739822797168351,0.260177202831649
4.0,0.6504162437665252,0.3495837562334748
5.0,0.6431538313092026,0.35684616869079744
6.0,0.6447993878356013,0.3552006121643987
7.0,0.7280541750833305,0.2719458249166695
8.0,0.5933585146493197,0.40664148535068034
9.0,0.5952906690503937,0.40470933094960626
10.0,0.7577496150495162,0.2422503849504838
11.0,0.6372655964727536,0.3627344035272464
12.0,0.7720944113849416,0.22790558861505839
13.0,0.6133663313541914,0.3866336686458086
14.0,0.6269025309881002,0.3730974690118998
15.0,0.7803851563583436,0.2196148436416564
16.0,0.7837955655066812,0.21620443449331883
17.0,0.7138912462554288,0.28610875374457123
18.0,0.710660246329086,0.289339753670914
19.0,0.7189959092132092,0.2810040907867908
20.0,0.5971588068949547,0.4028411931050453
21.0,0.6431538313092026,0.35684616869079744
22.0,0.7409885122587115,0.25901148774128846
23.0,0.659713521461001,0.34028647853899896
24.0,0.7273415134052152,0.27265848659478475
25.0,0.6512774256029124,0.34872257439708765
26.0,0.7290034086022531,0.2709965913977469
27.0,0.7481749611413346,0.25182503885866536
28.0,0.6975408347950947,0.30245916520490534
29.0,0.626404685833792,0.37359531416620795
30.0,0.7102237672245476,0.2897762327754524
31.0,0.7464079091470769,0.2535920908529231
32.0,0.7360922081087803,0.2639077918912197
33.0,0.7279784691189723,0.27202153088102765
34.0,0.665931151147842,0.33406884885215804
35.0,0.6045802433661714,0.39541975663382856
36.0,0.6656924435511443,0.3343075564488557
37.0,0.581387007149205,0.418612992850795
38.0,0.6280398645473054,0.3719601354526946
39.0,0.7839723174232285,0.21602768257677152
40.0,0.7348634914763187,0.2651365085236813
41.0,0.6353286768698192,0.3646713231301808
42.0,0.6431538313092026,0.35684616869079744
43.0,0.6974107860433629,0.30258921395663707
44.0,0.7307918115049781,0.2692081884950219
45.0,0.634467495033432,0.365532504966568
46.0,0.634467495033432,0.365532504966568
47.0,0.7849235491955499,0.21507645080445015
48.0,0.6060923740034437,0.39390762599655627
49.0,0.712388692053576,0.287611307946424
50.0,0.7067792627190106,0.2932207372809894
51.0,0.6101894691318175,0.3898105308681825
52.0,0.7781719894823703,0.22182801051762968
53.0,0.7360922081087803,0.2639077918912197
54.0,0.7088077020285339,0.29119229797146606
55.0,0.7112572990971775,0.2887427009028225
56.0,0.6431538313092026,0.35684616869079744
57.0,0.7815850476898956,0.21841495231010444
58.0,0.7803626391123504,0.21963736088764962
59.0,0.7315553558985606,0.2684446441014394
60.0,0.7836662905107572,0.2163337094892428
61.0,0.698106588895557,0.301893411104443
62.0,0.7396487771715229,0.2603512228284771
63.0,0.6610588771963417,0.3389411228036583
64.0,0.6510060045426868,0.34899399545731324
65.0,0.6404886730128839,0.3595113269871161
66.0,0.698106588895557,0.301893411104443
67.0,0.6591097248842547,0.3408902751157453
68.0,0.7818422132087213,0.21815778679127873
69.0,0.74977519247,0.25022480753
70.0,0.7839723174232285,0.21602768257677152
71.0,0.7836662905107572,0.2163337094892428
72.0,0.7836662905107572,0.2163337094892428
73.0,0.6163487148855366,0.38365128511446345
74.0,0.661455542281973,0.338544457718027
75.0,0.7836662905107572,0.2163337094892428
76.0,0.7880208158153451,0.2119791841846549
77.0,0.7818422132087213,0.21815778679127873
78.0,0.6596531615888739,0.3403468384111261
79.0,0.7583636741582704,0.24163632584172956
80.0,0.698106588895557,0.301893411104443
81.0,0.7372235975669372,0.2627764024330628
82.0,0.6601372626019567,0.3398627373980433
83.0,0.5922810367930541,0.4077189632069459
84.0,0.6431538313092026,0.35684616869079744
85.0,0.5920229743056095,0.40797702569439054
86.0,0.6556151964034413,0.34438480359655865
87.0,0.7836662905107572,0.2163337094892428
88.0,0.6169164934049215,0.3830835065950785
89.0,0.7843201790148592,0.21567982098514082
90.0,0.6651756748498778,0.33482432515012217
91.0,0.5817901506128585,0.41820984938714145
92.0,0.7362224301806819,0.2637775698193181
93.0,0.6667619972043234,0.3332380027956766
94.0,0.611328184379408,0.38867181562059205
95.0,0.7067792627190106,0.2932207372809894
96.0,0.5936165771367642,0.4063834228632358
97.0,0.658446373166986,0.34155362683301405
98.0,0.7821482401211926,0.21785175987880745
99.0,0.7515309415693803,0.24846905843061973
