task_id,gpu_id,gpu_fraction,cpu_fraction,estimated_time,scheduled_time
0,0,1.0,0.0,1.2294010503758352,1764284542.040141
1,1,1.0,0.0,0.6171486250210283,1764284542.053812
2,2,0.99,0.010000000000000009,0.17833384050957735,1764284542.0675259
3,3,1.0,0.0,5.279134302653688,1764284542.080788
4,0,1.0,0.0,17.70373344342602,1764284542.0936372
7,2,1.0,0.0,5.528767031820437,1764284542.1071732
8,3,1.0,0.0,3.206626789719851,1764284542.1209128
9,3,1.0,0.0,6.351918706354485,1764284542.134609
10,2,1.0,0.0,1.3743187175572924,1764284542.148427
11,1,1.0,0.0,1.0067854876245776,1764284542.1627111
12,0,1.0,0.0,2.5164959297156737,1764284542.175504
13,2,1.0,0.0,0.7186330452338613,1764284542.189058
15,3,1.0,0.0,7.592365831222206,1764284542.20207
16,3,1.0,0.0,12.359646486952089,1764284542.215261
17,1,1.0,0.0,0.6839743957453855,1764284542.227766
18,3,1.0,0.0,3.627457799091511,1764284542.241232
20,0,1.0,0.0,4.057848664638409,1764284542.2539468
21,0,1.0,0.0,2.765763844494944,1764284542.26703
22,2,1.0,0.0,1.693587716935051,1764284542.2803378
23,3,1.0,0.0,0.6866747670551535,1764284542.293099
24,2,1.0,0.0,13.147234835051576,1764284542.305717
25,1,1.0,0.0,6.518594934295417,1764284542.318976
26,3,1.0,0.0,5.757310080662683,1764284542.3322828
27,0,1.0,0.0,6.9806090323244785,1764284542.345676
28,0,1.0,0.0,5.571880027987219,1764284542.358855
29,0,1.0,0.0,5.335842825896258,1764284542.372263
30,2,1.0,0.0,3.5532749434686606,1764284542.385542
32,0,1.0,0.0,0.5590373580845539,1764284542.398914
33,1,1.0,0.0,6.7801919254559895,1764284542.4122298
34,0,1.0,0.0,4.806210882902268,1764284542.424886
36,3,1.0,0.0,0.20247455581614546,1764284542.4378839
37,1,1.0,0.0,12.414691162869296,1764284542.451215
38,3,1.0,0.0,9.038941142398148,1764284542.464684
41,0,1.0,0.0,3.7692743789399703,1764284542.477535
43,0,1.0,0.0,7.119392692470474,1764284542.490873
44,3,1.0,0.0,8.574807849126048,1764284542.504477
45,2,1.0,0.0,5.270721397655377,1764284542.517727
46,1,1.0,0.0,6.241612382134428,1764284542.530983
48,3,1.0,0.0,2.043153197348933,1764284542.5446022
49,0,1.0,0.0,9.600258507035132,1764284542.558301
51,3,1.0,0.0,3.5852718310809735,1764284542.5709271
52,2,1.0,0.0,14.96024586062165,1764284542.5842361
53,1,1.0,0.0,0.5858332967796452,1764284542.597153
55,0,1.0,0.0,5.7888344454953184,1764284542.610368
56,3,1.0,0.0,0.18834098846569813,1764284542.623801
57,2,1.0,0.0,1.2540976150909087,1764284542.637353
58,2,1.0,0.0,9.212999069041274,1764284542.650698
60,1,1.0,0.0,7.4493938504121875,1764284542.664267
61,0,1.0,0.0,2.9347015610251135,1764284542.677779
62,3,1.0,0.0,1.8398183618277926,1764284542.691355
63,2,1.0,0.0,15.22942870742319,1764284542.704808
64,1,1.0,0.0,8.639332669196019,1764284542.718107
66,0,0.998,0.0020000000000000018,0.4428447004487265,1764284542.730539
68,2,1.0,0.0,8.215153146479087,1764284542.7431638
69,0,1.0,0.0,3.18192593716021,1764284542.756799
70,3,1.0,0.0,3.7688467537506853,1764284542.770148
71,2,1.0,0.0,2.954354651142102,1764284542.783385
72,2,0.99,0.010000000000000009,0.05465949228499168,1764284542.7964969
73,1,1.0,0.0,8.350777115632237,1764284542.809921
74,2,1.0,0.0,1.1150285641699909,1764284542.8229172
75,3,1.0,0.0,8.382858907184326,1764284542.836664
76,0,1.0,0.0,6.2708878687782965,1764284542.84978
78,2,1.0,0.0,6.533225277380562,1764284542.8626099
79,1,1.0,0.0,5.126455545278684,1764284542.875917
80,3,1.0,0.0,7.676714589165905,1764284542.889468
81,3,1.0,0.0,2.4615706524503027,1764284542.90308
82,0,1.0,0.0,1.089988846898719,1764284542.916045
83,2,1.0,0.0,3.6598393056898058,1764284542.929066
84,2,1.0,0.0,4.686337916991187,1764284542.9422479
85,1,1.0,0.0,5.591074929169354,1764284542.955499
86,1,1.0,0.0,14.721437113066303,1764284542.968957
88,2,1.0,0.0,7.831395698731691,1764284542.982514
89,3,1.0,0.0,2.3151459220647967,1764284542.9954429
90,0,1.0,0.0,6.307457958018781,1764284543.008134
91,1,1.0,0.0,9.564300647597443,1764284543.0211961
92,2,1.0,0.0,8.447325945582502,1764284543.03438
93,1,1.0,0.0,7.600417511657802,1764284543.047253
95,3,1.0,0.0,5.660201269468586,1764284543.060367
96,1,1.0,0.0,2.2547564820742854,1764284543.0736809
97,2,1.0,0.0,6.908764124472499,1764284543.0869849
99,3,1.0,0.0,6.334824147993547,1764284543.099817
14,0,1.0,0.0,0.6266840457832219,1764284543.113101
